rocket_id,regime,wind_mult,sr,rms
R0518,EASY,1.5x,1.0,4.245979679659873
R0519,EASY,1.5x,0.3333333333333333,11.020711396708911
R0520,EASY,1.5x,1.0,5.8448343298214525
R0521,EASY,1.5x,1.0,3.4523492945158423
R0522,EASY,1.5x,0.0,17.24758389482821
R0523,FRAGILE,1.5x,1.0,3.3254595090367487
R0524,EASY,1.5x,1.0,4.497116763442108
R0525,EASY,1.5x,1.0,2.306379133568779
R0526,EASY,1.5x,1.0,1.811516469503763
R0527,EASY,1.5x,1.0,7.428963461339042
R0528,EASY,1.5x,1.0,3.0839844951819777
R0529,EASY,1.5x,1.0,2.164400828972497
R0530,EASY,1.5x,1.0,2.1651025532486528
R0531,EASY,1.5x,1.0,1.3811708704177181
R0532,EASY,1.5x,1.0,1.9664280838514276
