rocket_id,final_label,td,keff,latency_steps,kp_simple,kp_full,Kp_floor,Kp_ceiling,window_ratio,Kp_miss,Kp_miss_fraction,miss_type,gain_ok,sr_simple_in_full,sr_full_in_full,false_rejection_v2
R0532,EASY,3.120032470914341,1.7155267364515259,4,132.17,36.97,0.4047928379615466,95.0,234.68794674925684,37.16999999999999,0.15838052407400718,overtuned,False,1.0,1.0,0
R0533,EASY,7.328782066271614,3.838870049044955,3,43.14,88.81,0.7210011524679667,126.66666666666667,175.6816424399465,0.0,0.0,inside,True,1.0,1.0,0
R0534,EASY,22.231040647332904,11.860666628421846,3,31.19,168.58,2.386304686760493,126.66666666666667,53.08067631490172,0.0,0.0,inside,True,1.0,1.0,0
R0535,EASY,3.0856755666659894,1.2807353880619055,5,3.6,14.08,0.36810589142567707,76.0,206.46232991721863,0.0,0.0,inside,True,1.0,1.0,0
R0536,EASY,71.70516965289819,8.815838214784415,1,46.78,59.67,0.6040542471735642,380.0,629.0825729279474,0.0,0.0,inside,True,0.6666666666666666,1.0,0
R0537,EASY,11.71171313239511,1.1345401188988307,6,5.36,46.78,0.38588058195197705,63.333333333333336,164.12676951237518,0.0,0.0,inside,True,1.0,1.0,0
R0538,EASY,34.1532605962515,2.8752404657973876,5,295.07,11.97,0.86818370659562,76.0,87.53907660628218,219.07,2.502539534261875,overtuned,False,0.0,1.0,1
R0539,EASY,5.379013805249829,1.0661332600883864,3,3.6,50.74,0.1851842867524954,126.66666666666667,684.0033184670826,0.0,0.0,inside,True,1.0,1.0,0
R0540,FRAGILE,143.03955295219828,13.633976400338609,6,4.56,50.74,5.396641496744537,63.333333333333336,11.735694018499924,0.8366414967445372,0.07129032977731624,undertuned,False,0.0,0.6666666666666666,1
R0541,EASY,9.57984929079212,4.093461305026177,3,46.78,31.43,0.7718348098270927,126.66666666666667,164.11110907921176,0.0,0.0,inside,True,1.0,1.0,0
R0542,EASY,10.393439261738584,2.96623793169212,2,81.89,59.67,0.37098360363409066,190.0,512.15201464106,0.0,0.0,inside,True,1.0,1.0,0
R0543,EASY,9.460872446564265,1.8022890789332595,1,5.36,70.18,0.11209364537035327,380.0,3390.0226792026792,0.0,0.0,inside,True,1.0,1.0,0
R0544,EASY,45.15696630934181,9.148805134568425,5,46.78,59.67,2.964598871821591,76.0,25.635845956219356,0.0,0.0,inside,True,1.0,1.0,0
